Date,Month,Accion,EV / Free Cashflow,EV / EBITDA,EV / Revenue,Total Liabilities / Total Assets,Long Term Liabilities / Total Assets,ROIC,Total Current Liabilities / Total Liabilities,ROE,PER,Sector,Year
2022-03-31,3,NWL,-39.582344736132704,32.93713357605203,5.668828266230061,0.7197972402140242,0.4957054350887074,0.037016574585635356,0.3113262910798122,0.05728643216080402,25.814517987065194,Consumer Defensive,2022
2021-12-31,12,NWL,47.465191287594244,42.95900224130365,4.839588131284119,0.7085990609012545,0.47613708038404934,0.025812829525483305,0.32805855009395707,0.03511303511303511,35.364937328901455,Consumer Defensive,2021
2021-09-30,9,NWL,39.57327893831545,38.35734019998731,4.927135913740746,0.7205922865013774,0.46515151515151515,0.030658053213620935,0.3544872407531301,0.0468557336621455,30.04836038748423,Consumer Defensive,2021
2021-06-30,6,NWL,388.57525809683443,41.06078758239745,5.880983972672651,0.7256497948016416,0.4673734610123119,0.03320038805648378,0.35592421528890567,0.049422980431510284,36.069781633797334,Consumer Defensive,2021
2021-03-31,3,NWL,-196.76916266574136,55.71599946449307,6.794040144490196,0.7307531380753138,0.49623430962343096,0.021199472759226713,0.3209275694245634,0.023201251303441084,54.37441190790248,Consumer Defensive,2021
2020-12-31,12,NWL,25.739616938253207,49.63375190734863,4.891388715302115,0.7346938775510204,0.48836734693877554,0.019505127061970575,0.3352777777777778,0.033815178110480126,35.17442906308903,Consumer Defensive,2020
2020-09-30,9,NWL,19.169330979769047,26.880140519945808,4.431886821554607,0.7452445652173914,0.5341032608695652,0.03829511034184336,0.28331814038286235,0.08158883521202362,16.06898386876779,Consumer Defensive,2020
2020-06-30,6,NWL,163.49203590497578,47.931400084591296,5.653680066822943,0.7533843024479203,0.5487830539384162,0.01717277486910995,0.271576203333023,0.022336769759450172,33.391583074222915,Consumer Defensive,2020
2020-03-31,3,NWL,-310.6454234858922,-8.181030716332751,5.764893861084956,0.7497662375026972,0.5375098899518089,-0.14955239599789363,0.28309669992325404,-0.37029530978575564,-4.094567645767988,Consumer Defensive,2020
2019-12-31,12,NWL,24.293402765914657,48.49478506680691,4.879048497575085,0.6806035033883135,0.4902186421173763,0.013145798860084575,0.2797294758594777,0.15998388071730807,7.7215507372612375,Consumer Defensive,2019
2019-09-30,9,NWL,34.695436232648,-17.944269633391535,5.0780397133030934,0.7396347328578031,0.5095189316810533,-0.08319830192076262,0.31112086946975515,-0.1512954369682908,-12.556787923249333,Consumer Defensive,2019
2019-06-30,6,NWL,90.16503677083485,42.393385709796036,4.871820535198335,0.7167148752143914,0.5392130780072794,0.016968616629244298,0.24766026678881983,0.018111567254286406,28.78457180369984,Consumer Defensive,2019
2019-03-31,3,NWL,-49.27337575956833,-3178.132736492157,6.2255293564978595,0.724783360303986,0.5286284732769619,-0.007338650494754074,0.2706393355177932,-0.03051491391156738,-99.26096124469112,Consumer Defensive,2019
2018-12-31,12,NWL,34.096473669029024,45.117086365326166,4.2784575741052615,0.7035841646729563,0.5171816458267503,0.016775007028634232,0.26493279440541495,0.035259849762379274,23.416607711720143,Consumer Defensive,2018
2018-09-30,9,NWL,31.523057458684306,-1.8871059066993048,6.176723386380093,0.7309503931137017,0.5480464860858735,-0.5948682463919565,0.2502275239892743,-1.219862179433701,-1.0512958652433426,Consumer Defensive,2018
2018-06-30,6,NWL,-190.64079023238347,44.011903547066595,8.20025564816802,0.5653719028802903,0.4304623623847511,0.013759027671334157,0.2386208791208791,0.009435246412528747,40.28763456969965,Consumer Defensive,2018
2018-03-31,3,NWL,-40.89211299914668,87.26461227652952,11.214574517237688,0.576708874374802,0.42977167203475414,0.003342999838891574,0.2547857487009186,0.0037718758182422917,57.97529679310474,Consumer Defensive,2018
2017-12-31,12,NWL,24.726950094693603,42.24107004680023,5.277562846435359,0.5720209443044469,0.4239109112583181,0.014597273853779428,0.2589241434616074,0.11685649041690527,6.5817372183279765,Consumer Defensive,2017
